name,weight_plf,A,d,bf,tf,tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,bf_2tf,h_tw,rts,ho
W27X129,129.0,37.8,27.6,10.0,1.1,0.61,4760.0,395.0,345.0,11.2,184.0,57.6,36.8,2.21,11.1,32500.0,4.55,39.7,2.6623536781607235,26.5
W18X130,130.0,38.3,19.3,11.2,1.2,0.67,2460.0,290.0,256.0,8.03,278.0,76.7,49.9,2.7,14.5,22700.0,4.65,23.9,3.132547612050566,18.1
W33X130,130.0,38.3,33.1,11.5,0.855,0.58,6710.0,467.0,406.0,13.2,218.0,59.5,37.9,2.39,7.37,56600.0,6.73,51.7,2.941407628413572,32.245000000000005
W24X131,131.0,38.6,24.5,12.9,0.96,0.605,4020.0,370.0,329.0,10.2,340.0,81.5,53.0,2.97,9.5,47100.0,6.7,35.6,3.487602714921429,23.54
W30X132,132.0,38.8,30.3,10.5,1.0,0.615,5770.0,437.0,380.0,12.2,196.0,58.4,37.2,2.25,9.72,42100.0,5.27,43.9,2.74943048361869,29.3
W14X132,132.0,38.8,14.7,14.7,1.03,0.645,1530.0,234.0,209.0,6.28,548.0,113.0,74.5,3.76,12.3,25500.0,7.15,17.7,4.22918849094565,13.67
W21X132,132.0,38.8,21.8,12.4,1.04,0.65,3220.0,333.0,295.0,9.12,333.0,82.3,53.5,2.93,11.3,36000.0,6.01,28.9,3.4259078376696364,20.76
W36X135,135.0,39.9,35.6,12.0,0.79,0.6,7800.0,509.0,439.0,14.0,225.0,59.7,37.7,2.38,7.0,68100.0,7.56,54.1,2.9860711211887083,34.81
W12X136,136.0,39.9,13.4,12.4,1.25,0.79,1240.0,214.0,186.0,5.58,398.0,98.0,64.2,3.16,18.5,14700.0,4.96,12.3,3.6061486888129877,12.15
W33X141,141.0,41.5,33.3,11.5,0.96,0.605,7450.0,514.0,448.0,13.4,246.0,66.9,42.7,2.43,9.7,64400.0,6.01,49.6,2.9806860608995223,32.339999999999996
W18X143,143.0,42.0,19.5,11.2,1.32,0.73,2750.0,322.0,282.0,8.09,311.0,85.4,55.5,2.72,19.2,25700.0,4.25,22.0,3.166276400184877,18.18
W14X145,145.0,42.7,14.8,15.5,1.09,0.68,1710.0,260.0,232.0,6.33,677.0,133.0,87.3,3.98,15.2,31700.0,7.11,16.8,4.468564081081798,13.71
W27X146,146.0,43.2,27.4,14.0,0.975,0.605,5660.0,464.0,414.0,11.5,443.0,97.7,63.5,3.2,11.3,77200.0,7.16,39.4,3.758418057950184,26.424999999999997
W24X146,146.0,43.0,24.7,12.9,1.09,0.65,4580.0,418.0,371.0,10.3,391.0,93.2,60.5,3.01,13.4,54600.0,5.92,33.2,3.5290303651737767,23.61
W21X147,147.0,43.2,22.1,12.5,1.15,0.72,3630.0,373.0,329.0,9.17,376.0,92.6,60.1,2.95,15.4,41100.0,5.44,26.1,3.4566823150754433,20.950000000000003
